task_type,title,duration_minutes,urgency,deadline_urgency,importance_to_goals,depends_on_you,stress_level,motivation_level,enjoyment_level,task_blocking_others,priority
Study,Submit assignment,69,1,No Deadline,4,1,2,4,1,0,Low
Personal,Clean room,158,4,This Week,2,0,2,1,1,0,Medium
Work,Send report,135,4,Overdue,1,1,2,4,2,1,Medium
Work,Fix bug,103,1,No Deadline,4,1,3,1,1,1,Low
Errand,Buy groceries,41,1,Today,4,0,2,3,5,0,Low
Health,Go to gym,102,3,Overdue,5,0,3,2,1,0,Medium
Work,Attend meeting,134,2,No Deadline,3,0,2,2,2,1,Low
Health,Sleep early,171,5,Overdue,2,1,2,2,1,0,Medium
Personal,Organize photos,149,2,Tomorrow,5,0,2,1,2,0,Medium
Health,Sleep early,87,4,Today,1,0,1,1,5,1,Low
Errand,Book tickets,155,2,Next Week,2,1,3,4,1,1,Low
Work,Fix bug,108,2,Next Week,2,1,4,5,5,1,Low
Errand,Visit bank,74,5,This Week,1,1,5,3,5,1,Medium
Personal,Plan trip,59,1,Overdue,3,1,5,4,3,0,Low
Work,Fix bug,38,2,Today,1,0,4,5,3,0,Low
Health,Meditate,99,1,Next Week,3,0,4,3,3,1,Low
Health,Meditate,151,4,Today,3,0,1,4,5,0,Medium
Work,Send report,180,1,Tomorrow,1,0,2,5,1,1,Low
Work,Attend meeting,42,1,Overdue,5,1,4,4,5,1,Medium
Personal,Pay bills,22,5,No Deadline,2,0,1,1,5,0,Low
Study,Watch lecture,123,1,This Week,2,1,5,1,2,0,Low
Work,Fix bug,179,3,Today,1,1,1,2,1,0,Low
Work,Write proposal,54,2,Today,4,1,3,2,5,0,Low
Personal,Plan trip,76,3,Today,4,0,5,3,1,0,Low
Study,Practice math,55,2,No Deadline,1,0,3,3,2,0,Low
Health,Meditate,146,5,This Week,5,1,3,3,3,0,Medium
Work,Review code,49,3,Today,3,0,2,5,2,1,Low
Errand,Book tickets,174,3,This Week,5,1,4,2,3,1,Medium
Health,Cook healthy meal,152,5,Tomorrow,5,1,1,1,2,1,High
Study,Watch lecture,139,1,No Deadline,2,1,2,3,3,0,Low
Work,Write proposal,179,2,No Deadline,5,1,3,5,4,0,Low
Health,Take vitamins,138,1,Overdue,4,0,1,3,2,0,Low
Study,Watch lecture,162,1,No Deadline,3,0,5,2,2,0,Low
Errand,Buy groceries,77,5,Next Week,3,0,4,1,1,1,Medium
Personal,Pay bills,55,2,No Deadline,2,0,5,4,5,0,Low
Personal,Pay bills,111,3,Today,4,0,5,2,2,1,Medium
Health,Cook healthy meal,132,4,This Week,4,1,2,4,3,0,Medium
Study,Revise notes,126,3,Today,5,1,4,5,5,0,Medium
Study,Practice math,157,2,Tomorrow,2,1,1,5,2,1,Low
Work,Fix bug,8,2,Overdue,2,0,5,2,4,0,Low
Study,Watch lecture,129,2,Tomorrow,3,1,5,4,3,1,Low
Work,Fix bug,56,3,Today,5,1,5,3,5,0,Medium
Study,Practice math,127,2,Next Week,3,1,5,5,2,0,Low
Study,Watch lecture,74,1,No Deadline,5,1,4,2,2,0,Low
Work,Attend meeting,12,5,This Week,5,1,3,5,2,0,Medium
Errand,Book tickets,70,2,No Deadline,4,0,3,2,4,1,Low
Personal,Pay bills,62,5,This Week,4,1,4,5,3,0,Medium
Study,Practice math,136,5,This Week,5,1,2,1,3,0,High
Work,Write proposal,158,5,Tomorrow,2,1,3,1,3,0,Medium
Study,Submit assignment,94,5,No Deadline,3,0,3,2,3,1,Medium
Errand,Car service,10,2,Next Week,3,0,1,3,4,1,Low
Errand,Book tickets,128,4,Overdue,5,0,3,1,4,0,High
Personal,Organize photos,57,4,Today,4,0,1,2,5,0,Medium
Personal,Clean room,162,2,This Week,1,0,5,5,3,0,Low
Health,Cook healthy meal,73,4,No Deadline,4,1,4,1,3,0,Low
Work,Fix bug,75,4,Next Week,2,1,1,4,3,0,Low
Health,Sleep early,111,5,Tomorrow,1,0,3,4,3,1,Medium
Study,Revise notes,131,3,Tomorrow,4,1,1,4,1,0,Low
Errand,Buy groceries,53,1,Tomorrow,2,0,3,4,2,1,Low
Health,Sleep early,16,1,This Week,2,1,3,5,3,1,Low
Health,Meditate,17,3,Next Week,2,1,2,3,2,1,Low
Health,Sleep early,139,3,This Week,2,0,1,1,1,1,Low
Health,Cook healthy meal,175,4,Tomorrow,1,0,3,2,2,0,Low
Personal,Clean room,113,3,Next Week,5,0,1,3,5,1,Medium
Personal,Plan trip,18,4,Today,4,0,2,4,2,1,Medium
Personal,Organize photos,7,3,This Week,5,0,3,1,2,1,Medium
Study,Read chapter,89,5,Tomorrow,5,0,5,2,2,1,High
Errand,Visit bank,108,1,Overdue,5,1,3,4,2,0,Low
Errand,Book tickets,128,3,No Deadline,1,1,2,2,5,1,Low
Errand,Buy groceries,65,2,Today,5,0,4,2,1,1,Medium
Study,Revise notes,36,1,Next Week,4,0,1,4,1,0,Low
Work,Send report,135,4,Today,5,1,4,5,2,1,Medium
Personal,Clean room,86,5,Tomorrow,2,1,5,3,5,1,Medium
Personal,Organize photos,136,3,Next Week,3,1,4,5,4,1,Low
Errand,Visit bank,100,1,No Deadline,1,0,1,3,4,0,Low
Work,Send report,137,3,Next Week,4,1,3,1,4,1,Medium
Work,Review code,67,2,Next Week,5,1,5,4,1,1,Medium
Work,Send report,117,1,Overdue,3,0,2,4,5,1,Low
Errand,Buy groceries,15,5,Next Week,3,0,4,2,3,0,Medium
Health,Take vitamins,35,3,Today,2,0,4,2,2,0,Low
Work,Send report,77,5,This Week,5,0,3,4,4,1,Medium
Health,Meditate,43,5,Today,4,0,1,1,1,1,Medium
Work,Review code,162,3,Overdue,5,1,3,1,3,1,Medium
Work,Fix bug,55,4,This Week,3,0,5,1,1,1,Medium
Work,Send report,122,5,Today,2,0,5,2,5,0,Medium
Personal,Call mom,68,4,No Deadline,5,0,3,2,2,1,Medium
Study,Practice math,90,2,No Deadline,1,1,4,5,1,0,Low
Study,Read chapter,119,1,This Week,2,1,2,4,2,1,Low
Health,Cook healthy meal,103,4,No Deadline,5,0,5,2,1,0,Low
Errand,Book tickets,125,3,Tomorrow,3,0,1,3,3,1,Low
Study,Submit assignment,79,5,No Deadline,5,1,4,3,5,1,Medium
Health,Take vitamins,138,5,Today,1,1,2,3,1,1,Medium
Health,Sleep early,168,4,Overdue,2,1,5,1,5,0,Medium
Work,Send report,100,2,This Week,4,1,2,3,4,0,Low
Health,Take vitamins,25,1,No Deadline,2,0,4,3,5,0,Low
Study,Read chapter,9,5,Overdue,2,0,2,1,2,1,Medium
Work,Fix bug,104,5,Next Week,1,0,1,2,1,0,Medium
Personal,Clean room,60,3,Tomorrow,2,1,3,2,3,1,Low
Work,Fix bug,71,4,Today,1,0,2,3,3,0,Low
Study,Submit assignment,78,4,Tomorrow,2,0,2,3,3,1,Medium
Work,Send report,10,5,Next Week,5,0,2,2,2,1,High
Health,Meditate,28,3,Overdue,1,1,5,3,4,1,Medium
Work,Review code,171,4,No Deadline,3,0,4,5,1,0,Low
Health,Take vitamins,71,2,This Week,1,0,5,1,3,0,Low
Errand,Car service,129,1,Next Week,4,0,4,4,5,1,Low
Health,Sleep early,53,1,No Deadline,2,0,4,5,5,1,Low
Study,Revise notes,64,5,Tomorrow,5,0,5,5,1,0,Medium
Study,Submit assignment,180,2,Next Week,2,0,3,2,2,0,Low
Errand,Pick up parcel,108,1,Overdue,4,1,5,5,3,1,Low
Work,Review code,90,2,Today,4,0,5,5,1,0,Low
Errand,Car service,107,1,This Week,2,0,2,1,5,1,Low
Study,Submit assignment,65,4,No Deadline,4,1,2,5,5,1,Low
Personal,Clean room,157,4,Tomorrow,1,0,2,2,2,1,Low
Health,Meditate,121,4,Next Week,2,0,1,3,2,0,Low
Personal,Plan trip,116,5,Tomorrow,1,1,1,5,3,1,Medium
Work,Send report,95,1,No Deadline,2,0,2,3,4,0,Low
Errand,Visit bank,113,4,This Week,2,1,5,3,2,1,Medium
Work,Attend meeting,118,2,Today,3,0,1,1,2,1,Low
Health,Go to gym,158,5,Overdue,3,1,3,1,2,0,High
Health,Cook healthy meal,135,3,Tomorrow,4,1,4,4,4,1,Medium
Errand,Book tickets,177,4,This Week,2,0,3,4,3,1,Low
Health,Cook healthy meal,110,5,Tomorrow,3,0,2,2,3,1,Medium
Work,Fix bug,5,3,Next Week,2,1,5,4,3,0,Low
Work,Review code,92,4,Next Week,4,1,5,2,1,1,Medium
Personal,Clean room,115,1,This Week,1,1,4,3,2,1,Low
Health,Meditate,81,1,Next Week,4,1,3,5,3,0,Low
Personal,Organize photos,151,5,This Week,4,1,4,5,2,1,Medium
Work,Attend meeting,36,5,Overdue,2,1,3,4,3,0,Medium
Study,Read chapter,108,4,This Week,1,0,2,4,1,0,Low
Errand,Book tickets,82,5,Today,5,1,1,5,2,1,Medium
Personal,Pay bills,138,2,Overdue,3,1,1,4,2,1,Medium
Personal,Organize photos,174,1,This Week,1,0,3,3,5,0,Low
Personal,Call mom,99,2,Overdue,3,0,4,4,4,0,Low
Personal,Clean room,16,1,This Week,2,0,4,5,1,1,Low
Work,Attend meeting,157,5,Overdue,4,1,4,2,2,1,High
Errand,Car service,169,3,Overdue,3,1,3,3,3,1,Medium
Personal,Pay bills,132,3,This Week,5,0,4,5,2,1,Medium
Study,Submit assignment,128,3,No Deadline,2,1,2,4,3,0,Low
Health,Sleep early,39,1,Tomorrow,5,1,4,2,5,1,Low
Health,Take vitamins,117,1,Overdue,2,1,5,1,1,1,Low
Errand,Pick up parcel,150,3,Tomorrow,2,1,3,2,4,1,Low
Work,Write proposal,142,2,Next Week,5,1,4,4,5,1,Medium
Health,Go to gym,109,1,Next Week,5,0,2,3,2,0,Low
Errand,Pick up parcel,148,4,This Week,1,1,5,3,3,0,Low
Study,Revise notes,114,2,No Deadline,2,0,5,3,3,1,Low
Work,Attend meeting,160,1,Overdue,5,0,3,5,2,0,Low
Health,Cook healthy meal,159,5,Today,4,1,3,3,1,0,Medium
Errand,Car service,175,5,Next Week,3,1,2,1,3,0,Medium
Health,Sleep early,37,4,This Week,1,0,2,1,3,0,Low
Study,Revise notes,133,1,No Deadline,3,0,5,1,4,1,Low
Errand,Buy groceries,109,3,This Week,2,0,1,3,3,0,Low
Personal,Organize photos,48,3,Tomorrow,4,0,5,5,5,1,Low
Errand,Book tickets,164,5,Overdue,1,0,5,4,1,1,Medium
Personal,Call mom,45,4,No Deadline,5,1,5,4,4,0,Low
Health,Meditate,141,3,Next Week,1,0,5,2,1,1,Low
Health,Cook healthy meal,176,5,Tomorrow,3,1,3,3,2,0,Medium
Health,Take vitamins,168,2,No Deadline,2,1,3,1,1,0,Low
Errand,Visit bank,9,1,Overdue,1,0,2,4,2,0,Low
Study,Watch lecture,34,3,This Week,5,1,5,4,3,1,Medium
Study,Submit assignment,122,4,Today,1,0,1,1,2,1,Low
Work,Review code,123,2,No Deadline,4,1,2,4,4,1,Low
Study,Practice math,123,4,Today,4,1,2,3,4,1,Medium
Work,Attend meeting,179,4,Today,4,1,2,4,2,1,Medium
Work,Fix bug,68,1,Today,1,1,5,2,4,0,Low
Personal,Pay bills,139,1,Tomorrow,5,0,3,5,1,1,Low
Errand,Pick up parcel,159,4,Overdue,3,1,4,2,3,1,Medium
Errand,Car service,51,4,No Deadline,3,0,1,1,4,0,Low
Work,Fix bug,88,1,No Deadline,4,1,1,4,2,0,Low
Errand,Buy groceries,171,2,Next Week,4,0,3,4,4,1,Low
Errand,Buy groceries,20,3,Next Week,1,1,1,2,2,0,Low
Errand,Visit bank,71,4,Today,3,0,3,1,2,1,Medium
Errand,Car service,130,4,Tomorrow,4,1,2,3,4,1,Medium
Health,Sleep early,175,2,Today,2,0,5,3,2,1,Low
Personal,Pay bills,174,3,Overdue,3,0,5,5,3,0,Low
Health,Meditate,87,5,Next Week,3,1,4,3,1,0,Medium
Personal,Call mom,154,4,Tomorrow,3,0,2,2,3,0,Medium
Health,Cook healthy meal,117,3,Today,1,0,1,5,4,1,Low
Personal,Organize photos,74,4,This Week,2,1,1,5,5,0,Low
Personal,Clean room,155,2,Overdue,4,0,4,2,3,0,Medium
Personal,Pay bills,164,5,No Deadline,2,0,5,2,5,0,Low
Study,Read chapter,13,2,Overdue,3,0,2,2,3,1,Medium
Personal,Plan trip,161,3,Tomorrow,3,0,2,5,5,0,Low
Study,Submit assignment,88,5,Today,4,0,2,3,2,1,Medium
Study,Read chapter,153,1,Next Week,1,0,1,5,3,1,Low
Personal,Plan trip,144,2,Overdue,2,0,2,4,5,1,Low
Work,Send report,126,3,No Deadline,5,0,2,5,3,0,Low
Work,Attend meeting,176,3,This Week,1,0,5,5,2,0,Low
Personal,Organize photos,20,5,Tomorrow,5,0,3,1,1,0,Medium
Health,Take vitamins,10,5,Overdue,2,1,4,2,5,1,Medium
Study,Read chapter,55,2,Today,1,1,5,1,3,1,Low
Study,Practice math,110,2,Tomorrow,4,0,2,3,3,0,Low
Errand,Visit bank,67,4,Next Week,5,1,3,2,5,1,Medium
Study,Revise notes,142,1,Today,1,0,3,4,5,1,Low
Errand,Car service,88,5,Overdue,2,1,4,5,2,1,Medium
Health,Take vitamins,111,3,No Deadline,1,0,1,5,2,1,Low
Work,Fix bug,40,3,This Week,3,1,3,4,3,0,Low
Study,Read chapter,127,1,Next Week,5,0,4,3,5,0,Low
Errand,Car service,54,5,This Week,2,0,2,4,5,0,Medium
Study,Practice math,78,4,Today,2,0,5,3,5,0,Low
Health,Take vitamins,76,3,Next Week,1,0,3,5,4,0,Low
Personal,Pay bills,24,5,This Week,3,0,5,3,1,1,Medium
Errand,Car service,59,2,This Week,4,0,1,3,3,0,Low
Health,Meditate,139,5,Overdue,3,0,3,3,1,1,Medium
Work,Write proposal,15,3,This Week,2,0,2,4,4,0,Low
Health,Go to gym,96,3,This Week,4,0,3,2,2,1,Medium
Study,Practice math,56,1,Today,1,0,5,2,2,1,Low
Health,Meditate,149,5,No Deadline,5,0,3,3,4,0,Medium
Personal,Organize photos,55,3,Today,5,0,4,3,5,1,Medium
Errand,Visit bank,143,2,Next Week,3,0,3,2,4,0,Low
Study,Submit assignment,141,3,Next Week,1,0,1,1,5,1,Low
Personal,Pay bills,149,3,Tomorrow,2,0,4,4,3,0,Low
Work,Fix bug,10,2,No Deadline,1,0,2,2,3,1,Low
Errand,Book tickets,157,3,Overdue,2,0,3,5,4,1,Low
Health,Sleep early,47,3,Today,2,1,4,3,4,0,Low
Work,Send report,55,5,Next Week,4,0,4,4,2,0,Medium
Study,Read chapter,33,2,Today,2,1,3,5,3,1,Low
Personal,Organize photos,168,5,Next Week,1,0,5,5,5,0,Low
Health,Go to gym,28,5,Next Week,3,1,2,2,4,0,Medium
Health,Sleep early,81,1,Next Week,2,0,5,1,2,1,Low
Study,Submit assignment,14,4,Today,5,1,3,5,1,0,Medium
Study,Watch lecture,60,5,Next Week,4,1,3,5,2,1,Medium
Study,Revise notes,99,1,No Deadline,4,1,2,4,3,0,Low
Personal,Clean room,162,2,No Deadline,4,0,4,3,1,1,Low
Personal,Plan trip,61,2,Overdue,3,0,1,4,3,0,Low
Errand,Visit bank,173,1,Tomorrow,1,1,2,4,1,0,Low
Health,Go to gym,111,2,Overdue,4,1,2,1,5,1,Medium
Work,Send report,63,3,No Deadline,3,0,5,2,4,1,Low
Errand,Buy groceries,46,3,Overdue,4,1,1,2,4,0,Medium
Study,Revise notes,144,4,Overdue,2,0,5,2,1,0,Medium
Personal,Clean room,69,4,Next Week,1,0,2,1,4,1,Low
Work,Review code,126,4,Tomorrow,3,0,2,1,1,0,Medium
Errand,Pick up parcel,147,5,No Deadline,2,0,1,1,1,1,Low
Study,Watch lecture,8,1,Tomorrow,3,0,5,2,3,0,Low
Errand,Car service,129,4,Overdue,5,0,5,3,1,0,Medium
Personal,Organize photos,30,1,This Week,5,0,2,5,4,1,Low
Errand,Buy groceries,103,4,Overdue,3,1,5,4,1,1,Medium
Personal,Plan trip,35,1,Tomorrow,1,0,4,1,1,1,Low
Personal,Clean room,111,5,This Week,5,1,3,4,2,1,Medium
Work,Attend meeting,81,5,Today,3,1,5,3,5,1,Medium
Personal,Call mom,74,3,Today,4,0,2,3,1,0,Low
Study,Submit assignment,38,2,This Week,5,0,2,2,4,0,Low
Errand,Pick up parcel,149,4,Today,4,1,3,2,3,1,Medium
Health,Go to gym,41,5,Tomorrow,3,0,2,3,3,0,Medium
Health,Cook healthy meal,59,2,This Week,3,1,2,4,5,0,Low
Personal,Call mom,108,4,No Deadline,3,0,1,4,4,0,Low
Work,Write proposal,88,3,Today,2,0,2,1,4,0,Low
Personal,Call mom,171,5,Tomorrow,4,1,1,3,2,1,Medium
Work,Send report,31,2,No Deadline,3,0,4,3,3,0,Low
Study,Revise notes,52,2,No Deadline,3,0,1,2,5,0,Low
Health,Go to gym,21,1,Overdue,5,0,1,4,4,1,Low
Health,Cook healthy meal,47,1,Overdue,5,1,5,1,3,0,Medium
Health,Go to gym,29,2,Overdue,4,1,1,2,5,0,Medium
Personal,Pay bills,94,5,Tomorrow,5,0,5,1,2,1,High
Study,Watch lecture,19,3,Next Week,2,0,3,2,3,1,Low
Personal,Pay bills,120,1,No Deadline,3,0,4,4,4,0,Low
Personal,Clean room,28,4,No Deadline,1,0,1,5,1,1,Low
Health,Meditate,62,5,Overdue,1,0,5,3,3,0,Medium
Study,Watch lecture,59,3,Overdue,1,1,5,3,4,0,Low
Errand,Pick up parcel,28,2,No Deadline,1,1,2,5,3,1,Low
Work,Fix bug,17,1,No Deadline,5,1,1,4,2,0,Low
Errand,Visit bank,30,2,Today,2,0,1,2,2,1,Low
Personal,Call mom,126,1,No Deadline,5,0,5,2,5,1,Low
Errand,Visit bank,64,2,Tomorrow,4,1,3,1,3,1,Medium
Personal,Call mom,15,1,Overdue,3,0,5,5,3,0,Low
Study,Watch lecture,162,2,No Deadline,5,1,1,2,3,1,Low
Study,Revise notes,141,5,Overdue,3,1,5,4,4,1,Medium
Personal,Pay bills,9,1,No Deadline,5,0,3,1,2,1,Low
Errand,Buy groceries,133,2,Overdue,4,1,2,4,3,0,Medium
Health,Cook healthy meal,98,5,Overdue,2,1,4,3,1,0,Medium
Personal,Plan trip,89,5,Overdue,5,1,3,2,2,1,High
Study,Revise notes,21,4,This Week,2,1,1,3,5,1,Medium
Errand,Pick up parcel,15,3,Overdue,2,1,5,4,1,1,Medium
Errand,Visit bank,26,5,Next Week,5,1,4,2,2,0,Medium
Health,Cook healthy meal,68,1,No Deadline,1,0,5,4,3,0,Low
Errand,Book tickets,105,4,Today,5,1,1,4,4,1,Medium
Errand,Book tickets,152,1,This Week,4,0,5,5,4,0,Low
Personal,Pay bills,112,4,Next Week,3,0,2,2,3,1,Medium
Personal,Pay bills,145,1,No Deadline,4,0,5,1,4,0,Low
Health,Meditate,156,4,No Deadline,3,0,1,2,2,1,Low
Work,Fix bug,145,5,Tomorrow,1,0,4,5,3,0,Low
Work,Attend meeting,121,5,This Week,5,1,5,2,4,0,Medium
Work,Attend meeting,50,2,No Deadline,4,1,3,2,4,0,Low
Errand,Car service,132,4,Today,2,1,1,3,4,0,Medium
Personal,Plan trip,73,1,Overdue,3,1,5,5,5,1,Low
Personal,Pay bills,79,3,Today,4,1,3,3,4,1,Medium
Work,Fix bug,120,3,Tomorrow,1,1,3,4,2,0,Low
Errand,Visit bank,151,3,No Deadline,3,0,4,1,1,1,Low
Study,Practice math,132,4,No Deadline,3,0,5,2,2,0,Low
Work,Fix bug,92,4,This Week,2,0,2,2,1,1,Medium
Health,Go to gym,74,5,Overdue,5,1,3,1,1,0,High
Study,Submit assignment,93,3,This Week,1,1,1,1,4,0,Low
Work,Write proposal,96,5,Next Week,5,0,1,3,4,1,Medium
Study,Read chapter,140,4,Overdue,5,0,1,4,4,1,Medium
Health,Meditate,156,4,Overdue,2,0,4,3,3,0,Medium
Study,Read chapter,32,3,Overdue,4,1,3,3,3,1,Medium
Health,Take vitamins,10,1,Today,3,0,4,1,2,1,Low
Errand,Buy groceries,106,4,Tomorrow,1,0,1,5,5,1,Low
Study,Revise notes,111,4,Overdue,4,0,4,3,3,0,Medium
Personal,Clean room,80,1,Overdue,1,0,5,4,4,0,Low
Work,Write proposal,82,2,No Deadline,4,1,5,1,4,1,Low
Personal,Organize photos,102,2,Overdue,5,0,1,5,2,1,Medium
Errand,Buy groceries,38,2,Tomorrow,5,0,1,1,5,1,Medium
Work,Write proposal,43,5,No Deadline,2,1,1,5,2,0,Low
Personal,Pay bills,72,4,No Deadline,3,1,5,4,4,0,Low
Work,Send report,156,1,This Week,4,1,2,4,5,0,Low
Errand,Pick up parcel,161,4,Today,3,0,5,1,5,0,Medium
Study,Watch lecture,133,4,Overdue,1,1,1,1,5,0,Medium
Health,Go to gym,82,3,Tomorrow,4,0,5,2,3,1,Medium
Errand,Car service,38,3,Overdue,1,1,3,1,2,1,Medium
Health,Meditate,64,1,This Week,1,1,4,2,5,1,Low
Health,Cook healthy meal,48,5,No Deadline,1,1,3,5,1,1,Low
Health,Cook healthy meal,169,5,Tomorrow,3,1,2,5,4,1,Medium
Health,Sleep early,170,3,Tomorrow,4,0,3,1,4,0,Medium
Work,Fix bug,107,3,Next Week,1,0,4,3,1,1,Low
Errand,Book tickets,24,2,Next Week,5,0,4,2,4,1,Medium
Work,Send report,112,1,Next Week,5,0,3,2,2,0,Low
Work,Review code,136,3,Tomorrow,5,0,3,5,1,0,Low
Work,Review code,36,3,Today,4,1,5,3,2,0,Medium
Personal,Clean room,59,4,Overdue,5,0,4,3,5,1,High
Study,Revise notes,19,1,Tomorrow,3,1,1,4,3,1,Low
Work,Attend meeting,163,2,This Week,2,1,5,1,2,1,Low
Personal,Plan trip,156,2,This Week,5,0,4,2,4,0,Low
Study,Practice math,117,4,Next Week,1,0,5,1,5,0,Low
Work,Send report,140,5,No Deadline,1,0,5,2,1,0,Low
Health,Sleep early,105,2,Today,5,1,3,5,4,0,Low
Work,Attend meeting,173,3,Next Week,3,1,1,3,5,0,Low
Health,Go to gym,174,2,Next Week,4,1,3,5,2,0,Low
Errand,Book tickets,170,4,Tomorrow,3,0,4,1,2,0,Medium
Personal,Call mom,70,2,Next Week,2,0,3,4,1,0,Low
Study,Submit assignment,116,5,Overdue,2,1,1,5,1,0,Medium
Health,Sleep early,65,4,Next Week,2,0,1,5,3,1,Low
Study,Read chapter,82,4,This Week,1,1,3,5,4,1,Low
Errand,Book tickets,49,4,Next Week,1,0,5,2,3,1,Low
Work,Write proposal,76,3,This Week,5,0,1,2,1,0,Medium
Errand,Book tickets,112,3,Overdue,5,1,4,2,2,1,Medium
Work,Send report,106,2,Tomorrow,5,0,4,3,1,0,Low
Errand,Visit bank,122,5,Next Week,2,0,3,2,5,0,Medium
Study,Read chapter,144,1,This Week,2,0,5,3,4,1,Low
Work,Attend meeting,75,4,No Deadline,1,0,2,4,3,0,Low
Personal,Call mom,55,5,No Deadline,2,0,1,4,5,0,Low
Personal,Call mom,14,1,Next Week,4,1,2,1,1,0,Low
Study,Practice math,109,4,No Deadline,2,1,4,5,5,0,Low
Health,Go to gym,101,5,Today,4,1,1,2,3,0,Medium
Study,Read chapter,140,2,Next Week,5,1,5,4,5,1,Medium
Work,Fix bug,83,5,Next Week,5,1,4,1,1,0,High
Health,Sleep early,166,5,Tomorrow,4,0,4,2,5,1,Medium
Study,Submit assignment,27,1,Overdue,1,1,5,4,2,1,Low
Personal,Plan trip,143,2,Next Week,2,0,2,3,5,0,Low
Personal,Organize photos,73,1,Today,2,0,3,5,2,1,Low
Health,Go to gym,47,3,This Week,4,0,5,1,2,1,Medium
Work,Write proposal,66,4,Today,5,0,2,3,4,0,Medium
Study,Revise notes,163,4,Overdue,2,1,5,5,1,1,Medium
Work,Fix bug,150,4,Today,5,1,4,5,5,1,Medium
Study,Read chapter,151,2,Today,3,1,3,1,3,1,Low
Health,Sleep early,30,2,Next Week,2,1,1,4,2,0,Low
Work,Fix bug,30,1,Tomorrow,5,1,5,1,5,1,Low
Study,Watch lecture,164,4,Tomorrow,2,0,1,1,3,1,Medium
Health,Go to gym,157,3,Next Week,1,0,5,5,1,0,Low
Study,Submit assignment,150,5,Next Week,2,1,5,3,4,1,Medium
Work,Attend meeting,56,4,Next Week,4,1,2,2,5,1,Medium
Errand,Book tickets,47,3,This Week,5,0,1,3,2,1,Medium
Work,Fix bug,83,1,No Deadline,3,1,4,5,1,0,Low
Study,Revise notes,82,5,Today,3,1,1,3,1,1,Medium
Personal,Pay bills,167,5,Tomorrow,4,1,1,2,1,1,Medium
Study,Revise notes,28,2,Today,1,1,4,5,3,1,Low
Study,Read chapter,48,4,This Week,2,0,2,3,1,0,Low
Errand,Pick up parcel,156,5,This Week,2,0,4,3,3,1,Medium
Personal,Organize photos,108,4,This Week,5,1,4,3,3,0,Medium
Personal,Clean room,125,4,Next Week,5,0,3,3,4,1,Medium
Study,Read chapter,7,3,No Deadline,2,1,2,1,2,1,Low
Health,Meditate,60,4,Overdue,2,0,4,3,2,0,Medium
Study,Practice math,142,4,This Week,1,1,3,3,3,1,Low
Study,Revise notes,52,5,Next Week,4,1,5,2,4,1,Medium
Personal,Clean room,125,3,This Week,3,0,5,5,1,1,Low
Health,Meditate,145,2,Next Week,1,0,1,3,3,0,Low
Study,Read chapter,66,5,Overdue,4,1,1,1,2,0,High
Health,Meditate,106,4,No Deadline,1,1,1,3,2,1,Low
Work,Send report,20,2,No Deadline,3,1,5,2,5,1,Low
Errand,Visit bank,178,4,This Week,4,0,5,1,2,0,Medium
Personal,Call mom,19,1,Today,5,0,3,1,1,1,Low
Work,Review code,170,3,No Deadline,2,1,5,2,2,1,Low
Study,Watch lecture,130,5,No Deadline,3,1,3,5,1,1,Low
Personal,Plan trip,28,4,This Week,1,0,2,1,1,1,Low
Personal,Pay bills,121,2,Today,5,1,1,3,2,1,Medium
Study,Revise notes,72,3,Next Week,5,1,1,1,2,1,Medium
Study,Submit assignment,8,5,Today,3,1,4,3,1,1,Medium
Health,Cook healthy meal,6,4,Overdue,5,0,4,4,3,1,Medium
Errand,Visit bank,43,5,No Deadline,5,1,4,2,3,1,Medium
Study,Read chapter,120,4,Overdue,4,1,3,2,5,1,High
Errand,Pick up parcel,140,4,This Week,1,0,5,5,2,0,Low
Personal,Plan trip,97,4,Next Week,5,1,3,2,2,0,Medium
Errand,Book tickets,155,5,Tomorrow,4,1,5,1,4,0,Medium
Health,Meditate,69,1,This Week,1,1,5,1,5,1,Low
Errand,Car service,75,4,Tomorrow,5,0,4,5,5,0,Medium
Errand,Car service,78,5,Overdue,2,1,3,3,5,0,Medium
Work,Review code,117,1,This Week,2,0,4,3,3,1,Low
Health,Go to gym,19,2,Next Week,1,1,4,2,2,1,Low
Study,Practice math,94,4,Tomorrow,5,1,5,1,2,0,Medium
Health,Meditate,13,5,Overdue,3,1,3,3,5,1,High
Errand,Buy groceries,169,5,This Week,5,0,3,1,1,0,Medium
Health,Meditate,49,3,Overdue,2,0,1,4,5,1,Low
Errand,Visit bank,154,2,This Week,5,1,5,4,1,0,Low
Personal,Plan trip,92,4,Next Week,3,1,2,3,5,0,Medium
Work,Review code,7,4,No Deadline,3,1,5,4,5,0,Low
Work,Review code,179,5,This Week,5,0,3,4,1,0,Medium
Work,Send report,105,2,Tomorrow,2,0,2,1,1,1,Low
Study,Submit assignment,118,5,Next Week,5,1,2,1,2,0,High
Health,Cook healthy meal,121,4,No Deadline,3,0,2,4,5,1,Low
Personal,Plan trip,18,5,This Week,3,0,5,4,1,0,Medium
Health,Take vitamins,11,3,Tomorrow,5,1,3,4,1,1,Medium
Health,Meditate,123,1,Overdue,3,1,3,3,4,0,Low
Health,Meditate,167,1,Next Week,4,1,3,1,1,0,Low
Errand,Car service,169,3,Overdue,1,1,4,3,3,0,Low
